,pn,description,actual_stock,ideal_stock,station,del_time,buy_freq,purchasing_method,min,max
135,J219P05,Gasket  Gasket-Seal,3.0000,0,KEF,8,10,low_sale,0,0
136,L0CKWIRE032,Lockwire .032 (1 X 25ea),29.0000,0,KEF,40,10,low_sale,0,0
137,502761-401-2258,Belt Infant Loop,45.0000,0,KEF,48,10,low_sale,0,0
138,BACN10KE3DCD,Nutplate,44.0000,0,KEF,10,10,low_sale,0,0
139,BACB30LM4-6,Bolt,179.0000,0,KEF,4,10,low_sale,0,0
140,BACB30NX6K6X,Bolt,69.0000,0,KEF,14,100,low_sale,0,0
141,MS24665-132,Pin,2961.0000,0,KEF,21,100,low_sale,0,0
142,BACS12FA3K10,Screw,574.0000,0,KEF,33,100,low_sale,0,0
143,AS3208-02,Ring    Sealing,268.0000,0,KEF,17,100,low_sale,0,0
144,BACB30NZ6K4X,Hi-Lock,112.0000,0,KEF,14,10,low_sale,0,0
145,M25988-1-110,Packing,73.0000,0,KEF,42,100,low_sale,0,0
146,BACB30NN3K3,Bolt,1366.0000,0,KEF,23,100,low_sale,0,0
147,411N1109-9C,SHADE AY - Overwing Hatch,13.0000,0,KEF,14,10,low_sale,0,0
148,SAU10517,Cover   Rediform,9.0000,0,KEF,37,10,low_sale,0,0
149,BACM15C3B,Y - Terminal Block,102.0000,0,KEF,19,10,low_sale,0,0
150,BACB30NW5K3,Bolt,275.0000,0,KEF,36,100,low_sale,0,0
151,NAS1149FN816P,Washer,1817.0000,0,KEF,17,100,low_sale,0,0
152,BACR12BM212,RING - BACK-UP PRESSURE TUBE,33.0000,0,KEF,8,100,low_sale,0,0
153,MS29512-06,Packing,32.0000,0,KEF,20,100,low_sale,0,0
154,MS29513-111,Packing,8.0000,0,KEF,9,100,low_sale,0,0
155,4811-191,Gasket Gasket-Vent,30.0000,0,KEF,33,10,low_sale,0,0
156,KB27133,"Ring Sealing, Torroidal",5.0000,0,KEF,15,10,low_sale,0,0
157,BACB30NM4K13,Bolt,44.0000,0,KEF,21,10,low_sale,0,0
158,4801-22,Plug Valve,18.0000,0,KEF,116,10,low_sale,0,0
159,BACJ40A20-5,Jumper,8.0000,0,KEF,21,100,low_sale,0,0
160,BACS12FA3K9,Screw,3685.0000,0,KEF,47,100,low_sale,0,0
161,1132,Touch-N-Prep,21.0000,0,KEF,35,10,low_sale,0,0
162,C0TT0NPARTSBAG,Parts Bag 3x5 Inch,8500.0000,0,KEF,19,100,low_sale,0,0
163,BACB30MY5K4,Bolt,137.0000,0,KEF,18,100,low_sale,0,0
164,S8990-605,Packing,52.0000,0,KEF,23,100,low_sale,0,0
165,BACB30NX8K5,Bolt,279.0000,0,KEF,17,100,low_sale,0,0
166,BACB30NX8K8X,Bolt,110.0000,0,KEF,6,100,low_sale,0,0
167,NAS603-16P,Screw,74.0000,0,KEF,10,100,low_sale,0,0
168,BACB30NN3K2,Bolt,1912.0000,0,KEF,34,100,low_sale,0,0
169,NAS1149DN816J,Washer,380.0000,0,KEF,21,100,low_sale,0,0
170,NAS679C3MW,Nut,293.0000,0,KEF,11,100,low_sale,0,0
171,BACB30NM3K5,Bolt,197.0000,0,KEF,11,100,low_sale,0,0
172,F15T8WW,Lamp Fluor Lt Ay Galley,11.0000,0,KEF,11,10,low_sale,0,0
173,ALGCR215,VISIAL-WIPE,450.0000,0,KEF,34,10,low_sale,0,0
174,BACB30NW8K11X,Bolt,34.0000,0,KEF,7,10,low_sale,0,0
175,NAS679C08M,Nut,515.0000,0,KEF,18,100,low_sale,0,0
